ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0034976	response to endoplasmic reticulum stress	110	-0.5414989373182243	-1.7353571981995948	8.681455640306155e-5	0.0016027081402163813	0.0012648868164656317	4808	tags=46%, list=23%, signal=36%	AT3G24090/AT5G43010/AT2G23780/AT1G04750/AT1G14360/AT4G15470/AT4G29960/AT2G26780/AT2G02810/AT5G25270/AT5G42000/AT4G10790/AT4G04860/AT1G51590/AT3G63310/AT1G51710/AT5G01960/AT4G38930/AT2G21270/AT3G46220/AT5G15400/AT3G53230/AT1G77710/AT5G03340/AT5G24360/AT3G54130/AT2G42030/AT1G27530/AT1G21750/AT3G27090/AT3G54960/AT1G77510/AT4G34460/AT2G17520/AT4G21810/AT1G18260/AT5G22290/AT2G44410/AT4G15420/AT1G19310/AT4G27470/AT2G33120/AT1G42990/AT3G10800/AT4G03510/AT3G49530/AT3G09840/AT1G09080/AT4G34100/AT5G47120/AT5G42050
GO:0007010	cytoskeleton organization	302	0.46607557707292824	1.5549195628245094	8.705301246568123e-5	0.0016027081402163813	0.0012648868164656317	3796	tags=29%, list=18%, signal=24%	AT1G20010/AT2G46225/AT2G29550/AT3G25690/AT3G12110/AT5G19780/AT5G48460/AT3G53750/AT3G49260/AT2G25480/AT5G55230/AT5G05620/AT5G12250/AT2G29890/AT4G26760/AT2G01910/AT3G50240/AT5G19770/AT3G25500/AT3G43610/AT1G29170/AT3G45850/AT5G62690/AT4G35950/AT5G48360/AT5G64740/AT5G62700/AT1G75840/AT3G19570/AT1G19835/AT1G80260/AT1G14840/AT5G23860/AT4G16340/AT4G14960/AT1G20090/AT3G56480/AT5G26910/AT1G04820/AT1G68060/AT3G23090/AT1G50010/AT4G15830/AT4G05190/AT5G49720/AT2G22125/AT4G21270/AT2G28620/AT1G24764/AT5G07590/AT5G01840/AT5G44340/AT4G18570/AT5G09810/AT1G03780/AT2G36200/AT3G02180/AT1G10200/AT4G35020/AT3G53760/AT3G07540/AT4G32330/AT2G39900/AT4G05520/AT3G58650/AT5G47820/AT4G09550/AT1G75780/AT2G34150/AT3G48040/AT3G19050/AT2G35880/AT3G47690/AT2G07340/AT2G20190/AT2G41350/AT5G01730/AT5G56600/AT3G44050/AT5G17620/AT5G60930/AT4G28950/AT5G16730/AT5G54670/AT4G27180/AT3G23670/AT5G62880/AT3G05750
GO:0003002	regionalization	178	0.5199478874095862	1.6404464098009526	9.04415770196913e-5	0.0016503586886248093	0.0013024935078942037	3710	tags=36%, list=18%, signal=30%	AT2G33800/AT1G33240/AT4G00180/AT4G12970/AT2G32010/AT2G26580/AT5G15310/AT1G20330/AT5G43870/AT4G37650/AT2G26330/AT4G14770/AT4G14740/AT1G11130/AT5G28640/AT5G58930/AT2G21050/AT1G09310/AT5G62940/AT5G39740/AT1G68060/AT2G30424/AT1G24260/AT1G55350/AT1G05470/AT2G45190/AT2G42580/AT3G25520/AT3G01140/AT2G34710/AT5G60690/AT4G24670/AT2G37630/AT2G02820/AT5G55540/AT3G54340/AT5G49660/AT4G00480/AT3G44750/AT1G80080/AT3G45610/AT1G51460/AT5G02460/AT3G22810/AT1G04550/AT4G36920/AT5G10250/AT5G01170/AT1G65620/AT5G47440/AT2G46640/AT2G20120/AT3G63300/AT1G69180/AT1G14350/AT5G19730/AT3G53020/AT5G46700/AT2G27530/AT3G46990/AT3G54720/AT3G54220/AT1G32240/AT2G01950
GO:0140352	export from cell	139	-0.5173540997739803	-1.7196353427829567	9.388373066015008e-5	0.0016839297088207662	0.0013289883760462017	2833	tags=24%, list=14%, signal=21%	AT4G02350/AT1G47560/AT1G15170/AT3G10380/AT1G31880/AT1G59870/AT4G22970/AT3G05710/AT3G52400/AT1G12470/AT2G04100/AT1G78570/AT5G50380/AT3G46060/AT5G59840/AT1G61890/AT3G14090/AT1G12360/AT1G47530/AT1G66760/AT3G21690/AT4G12120/AT1G07000/AT1G58340/AT4G03510/AT3G11820/AT3G09520/AT5G65380/AT1G71140/AT4G25640/AT5G52050/AT1G33110/AT1G44800/AT2G29940
GO:0009753	response to jasmonic acid	217	-0.47120816748078687	-1.6367043554262115	9.391460548709413e-5	0.0016839297088207662	0.0013289883760462017	3864	tags=37%, list=19%, signal=31%	AT4G26850/AT3G23240/AT1G21910/AT1G17380/AT1G42540/AT2G39030/AT4G14110/AT1G43160/AT1G30135/AT1G15520/AT4G35890/AT4G16740/AT2G39770/AT4G23100/AT5G47010/AT4G12570/AT1G70700/AT2G26690/AT4G19810/AT4G32940/AT3G48360/AT1G61340/AT1G62810/AT1G17440/AT4G35770/AT3G15510/AT2G35490/AT1G73080/AT3G55970/AT1G15380/AT1G28480/AT3G44860/AT3G52400/AT3G43440/AT4G01370/AT5G56750/AT1G70170/AT1G76930/AT1G25540/AT3G17860/AT2G39260/AT1G55020/AT2G43790/AT1G44350/AT1G47510/AT5G06600/AT2G39940/AT4G34460/AT1G64280/AT5G13330/AT4G26120/AT2G34600/AT1G32230/AT5G67300/AT3G22160/AT3G51430/AT3G15500/AT1G33980/AT4G02570/AT2G34810/AT4G31550/AT5G56980/AT4G34710/AT5G67480/AT1G13960/AT5G20900/AT4G37760/AT1G22890/AT5G64930/AT3G11820/AT4G04920/AT5G08790/AT1G74020/AT4G20860/AT5G45110/AT4G11280/AT1G19180/AT2G32800/AT1G17420/AT3G51440/AT2G28400
GO:0042545	cell wall modification	131	0.5585133365392086	1.7248847259445104	1.030691074456105e-4	0.001832142237524559	0.0014459604365781658	2050	tags=24%, list=10%, signal=22%	AT5G61130/AT3G29030/AT1G70370/AT4G36360/AT5G64620/AT3G14310/AT2G28950/AT4G12390/AT5G62350/AT3G54920/AT5G46330/AT3G55500/AT4G33220/AT4G00730/AT1G70710/AT2G37640/AT1G45130/AT3G59010/AT5G06700/AT5G20740/AT4G28250/AT1G69530/AT1G74670/AT1G53840/AT1G26770/AT1G20190/AT5G63810/AT2G03090/AT5G62360/AT5G53370/AT4G25260/AT3G10720
GO:0032544	plastid translation	21	0.8339038879154566	1.883029977132045	1.0958059424977618e-4	0.0019312409003678505	0.0015241709285663877	1518	tags=52%, list=7%, signal=49%	AT1G09340/AT3G56910/AT2G33800/AT3G63140/AT1G68590/AT3G63190/AT5G54600/AT2G38140/AT1G71720/AT4G31850/AT1G79850
GO:0010027	thylakoid membrane organization	52	0.6828003100754252	1.8347701963464256	1.2226344038051561e-4	0.002136501814106976	0.0016861666264788332	3639	tags=50%, list=18%, signal=41%	AT1G35680/AT1G44575/AT3G12780/AT2G30170/AT2G20890/AT5G24314/AT5G08050/AT5G35220/AT2G34860/AT4G20130/AT5G18570/AT4G14870/AT1G32070/AT2G18710/AT1G03160/AT1G65260/AT1G56190/AT3G58830/AT3G47450/AT5G53860/AT1G74730/AT1G28530/AT2G07050/AT3G24590/AT3G26900/AT4G13200
GO:0032511	late endosome to vacuole transport via multivesicular body sorting pathway	28	-0.7677806508283767	-1.910705554162534	1.2781084400804727e-4	0.002214671935668853	0.0017478599277880682	3701	tags=68%, list=18%, signal=56%	AT1G06210/AT5G01760/AT2G19830/AT4G21560/AT5G63880/AT4G16144/AT5G04850/AT5G63640/AT1G21380/AT4G32760/AT1G76970/AT4G29160/AT1G48790/AT2G38410/AT3G10640/AT5G04920/AT4G26750/AT1G15130/AT5G16880
GO:0071398	cellular response to fatty acid	109	-0.5440247798647421	-1.7417101634124799	1.415006631442259e-4	0.0024314530616949483	0.0019189475896576602	2530	tags=28%, list=12%, signal=25%	AT3G55970/AT1G15380/AT1G28480/AT3G52400/AT3G43440/AT1G05010/AT4G01370/AT1G25540/AT3G17860/AT2G39260/AT2G43790/AT5G06600/AT2G39940/AT4G34460/AT1G64280/AT4G26120/AT2G34600/AT1G32230/AT5G67300/AT3G22160/AT3G15500/AT1G33980/AT4G02570/AT4G31550/AT5G20900/AT5G64930/AT3G11820/AT4G04920/AT5G45110/AT1G19180/AT2G32800
GO:0045892	negative regulation of DNA-templated transcription	196	-0.464023519632074	-1.5993100477813371	1.504024296507491e-4	0.002542047622457743	0.0020062308562558942	3497	tags=28%, list=17%, signal=23%	AT2G32700/AT1G13940/AT1G30500/AT3G20310/AT3G27250/AT5G40800/AT3G10480/AT3G62950/AT5G47390/AT1G43850/AT3G01320/AT4G19190/AT2G27350/AT1G13740/AT1G24190/AT5G40790/AT5G11530/AT5G47370/AT5G37380/AT5G15020/AT1G28480/AT4G24800/AT4G11560/AT3G10490/AT1G50640/AT1G26620/AT2G36080/AT1G69260/AT5G13180/AT4G16780/AT2G34720/AT4G37460/AT1G27730/AT5G44180/AT3G02140/AT5G63320/AT1G69360/AT1G02450/AT5G62090/AT3G52250/AT4G25520/AT5G50360/AT4G36990/AT5G16680/AT4G36900/AT3G15880/AT1G03850/AT3G48390/AT5G08790/AT3G29575/AT5G63190/AT1G62300/AT5G13080/AT3G19580
GO:1902679	negative regulation of RNA biosynthetic process	196	-0.464023519632074	-1.5993100477813371	1.504024296507491e-4	0.002542047622457743	0.0020062308562558942	3497	tags=28%, list=17%, signal=23%	AT2G32700/AT1G13940/AT1G30500/AT3G20310/AT3G27250/AT5G40800/AT3G10480/AT3G62950/AT5G47390/AT1G43850/AT3G01320/AT4G19190/AT2G27350/AT1G13740/AT1G24190/AT5G40790/AT5G11530/AT5G47370/AT5G37380/AT5G15020/AT1G28480/AT4G24800/AT4G11560/AT3G10490/AT1G50640/AT1G26620/AT2G36080/AT1G69260/AT5G13180/AT4G16780/AT2G34720/AT4G37460/AT1G27730/AT5G44180/AT3G02140/AT5G63320/AT1G69360/AT1G02450/AT5G62090/AT3G52250/AT4G25520/AT5G50360/AT4G36990/AT5G16680/AT4G36900/AT3G15880/AT1G03850/AT3G48390/AT5G08790/AT3G29575/AT5G63190/AT1G62300/AT5G13080/AT3G19580
GO:0006900	vesicle budding from membrane	49	-0.6735364369865435	-1.8962279071194281	1.5304621895252877e-4	0.002545010511936406	0.0020085692232649365	3736	tags=47%, list=18%, signal=39%	AT1G09180/AT4G25940/AT1G05520/AT3G01340/AT2G19830/AT4G32285/AT2G01920/AT5G63880/AT2G06530/AT5G04850/AT4G02080/AT3G63460/AT1G20110/AT4G29160/AT1G59820/AT1G18830/AT3G07100/AT2G01470/AT2G01600/AT3G10640/AT3G44340/AT5G35200/AT2G23810
GO:0009668	plastid membrane organization	55	0.6745878560401586	1.8196883192374875	1.5181591758413822e-4	0.002545010511936406	0.0020085692232649365	3639	tags=47%, list=18%, signal=39%	AT1G35680/AT1G44575/AT3G12780/AT2G30170/AT2G20890/AT5G24314/AT5G08050/AT5G35220/AT2G34860/AT4G20130/AT5G18570/AT4G14870/AT1G32070/AT2G18710/AT1G03160/AT1G65260/AT1G56190/AT3G58830/AT3G47450/AT5G53860/AT1G74730/AT1G28530/AT2G07050/AT3G24590/AT3G26900/AT4G13200
GO:0044804	nucleophagy	17	-0.843127479533742	-1.9348489297233904	1.5636855576775651e-4	0.002579455695944911	0.0020357539976164343	2587	tags=88%, list=13%, signal=77%	AT3G56440/AT3G19190/AT5G61500/AT2G40810/AT5G17290/AT2G44140/AT4G30510/AT1G54210/AT3G62770/AT3G18770/AT3G49590/AT4G30790/AT5G45900/AT3G59950/AT2G31260
GO:0006399	tRNA metabolic process	174	0.5145048775111467	1.625055624455859	1.6990124504824192e-4	0.0027804473594402763	0.002194380324516141	5214	tags=36%, list=25%, signal=27%	AT3G63510/AT2G25840/AT3G63110/AT5G16715/AT1G48520/AT2G32230/AT4G38160/AT2G04842/AT5G49030/AT4G04350/AT3G02660/AT4G26300/AT5G52520/AT5G56680/AT5G14460/AT5G17660/AT3G48110/AT3G62120/AT1G10490/AT2G04530/AT3G46100/AT1G78010/AT4G33760/AT5G20040/AT3G16260/AT2G41340/AT1G09290/AT1G66520/AT1G09620/AT1G72090/AT2G13440/AT1G76120/AT5G15390/AT2G39670/AT3G56300/AT4G18460/AT1G28350/AT4G32915/AT3G56330/AT5G15810/AT1G03360/AT3G58140/AT1G08540/AT2G29540/AT2G31170/AT3G57080/AT3G56120/AT1G20410/AT1G79880/AT4G39280/AT1G29880/AT2G25355/AT5G26880/AT3G57940/AT4G04670/AT5G54880/AT2G30320/AT5G01230/AT2G16650/AT5G24840/AT4G26870/AT1G11475/AT1G31600
GO:0009966	regulation of signal transduction	359	-0.3975232936105652	-1.4479966151161687	1.7353172776716675e-4	0.0028174993909913216	0.0022236224710156637	2936	tags=25%, list=14%, signal=21%	AT1G67890/AT1G77220/AT1G70700/AT2G41230/AT4G16830/AT1G67800/AT4G37260/AT1G17440/AT2G27350/AT1G31880/AT1G59870/AT2G20630/AT3G63010/AT2G01540/AT3G54130/AT3G55970/AT1G15380/AT4G38360/AT3G43440/AT1G08720/AT5G62470/AT5G66730/AT3G12620/AT3G21510/AT3G01090/AT1G15670/AT1G04310/AT1G50640/AT3G16857/AT3G23150/AT4G33780/AT1G78570/AT3G17860/AT4G23450/AT3G51770/AT3G26000/AT4G20380/AT1G20110/AT1G66340/AT1G07990/AT3G21650/AT3G02140/AT5G20910/AT1G30470/AT5G66070/AT1G07430/AT1G70810/AT4G02590/AT1G64280/AT2G29380/AT3G17410/AT3G59940/AT4G26120/AT2G34600/AT5G60410/AT5G26920/AT5G59220/AT3G05640/AT2G47700/AT5G67300/AT4G33920/AT4G34410/AT5G35980/AT3G22160/AT1G68410/AT5G57050/AT3G15880/AT3G49530/AT4G31550/AT4G31750/AT1G05100/AT5G20900/AT4G35790/AT4G04920/AT1G79570/AT4G11890/AT5G60360/AT5G45110/AT5G25350/AT1G72770/AT1G19180/AT4G26080/AT3G01650/AT1G17550/AT1G01720/AT5G01520/AT3G11410/AT2G33150
GO:1900055	regulation of leaf senescence	62	-0.6324077985113152	-1.8382427003258888	1.797657436913135e-4	0.0028959137772772534	0.002285508550549101	2730	tags=42%, list=13%, signal=36%	AT2G43000/AT1G63245/AT4G18170/AT4G19040/AT3G27110/AT3G22170/AT1G70170/AT3G04060/AT3G01090/AT3G02480/AT1G73980/AT5G13180/AT3G52250/AT3G29035/AT3G19290/AT1G08620/AT4G36900/AT5G62620/AT1G19270/AT3G61060/AT1G05100/AT5G64930/AT5G45900/AT1G77450/AT5G39610/AT4G27410
GO:0009723	response to ethylene	168	-0.48021510019668434	-1.6206096368462348	1.939822182573544e-4	0.0031007080158656185	0.0024471359398275804	3597	tags=34%, list=17%, signal=28%	AT1G62380/AT3G11100/AT1G28370/AT1G54490/AT1G15520/AT1G53170/AT3G20310/AT2G41230/AT4G32940/AT5G47390/AT1G73500/AT1G17440/AT5G20730/AT4G19040/AT4G24800/AT5G08560/AT1G08720/AT1G25560/AT4G16110/AT1G31930/AT1G09530/AT1G68765/AT1G04310/AT1G50640/AT3G23150/AT5G42520/AT5G05730/AT3G46060/AT4G32040/AT3G51770/AT2G43790/AT4G20380/AT1G73730/AT3G12500/AT1G66340/AT4G34460/AT5G13330/AT2G21240/AT1G32230/AT4G02380/AT5G59430/AT5G22270/AT3G51430/AT3G20770/AT1G53910/AT1G13960/AT1G22890/AT5G64930/AT4G04920/AT5G39610/AT5G60360/AT3G04720/AT5G25350/AT2G05520/AT4G11280/AT3G51440/AT5G44790
GO:0009555	pollen development	315	-0.4202820795005652	-1.5066835806453747	2.2694651678474798e-4	0.003599720904693464	0.0028409661129491534	3173	tags=20%, list=15%, signal=17%	AT5G60620/AT4G03550/AT3G57390/AT1G14830/AT5G01450/AT3G54150/AT3G48360/AT5G03470/AT4G14220/AT5G40740/AT1G53320/AT4G00330/AT5G50260/AT3G26500/AT1G11890/AT3G10490/AT1G77300/AT4G01370/AT2G21870/AT2G35070/AT5G15650/AT4G38630/AT5G54800/AT2G35690/AT3G48780/AT5G15470/AT3G08590/AT4G02080/AT1G47270/AT2G43790/AT3G53810/AT5G23630/AT1G06520/AT1G12970/AT1G78900/AT1G21630/AT2G30490/AT5G12840/AT4G17530/AT3G06540/AT3G07100/AT2G24260/AT3G11330/AT5G56270/AT5G63160/AT1G72520/AT3G01040/AT5G11110/AT1G34220/AT4G26750/AT3G14270/AT3G48520/AT1G63180/AT4G25640/AT4G29380/AT4G33240/AT5G05850/AT1G19180/AT3G55610/AT1G17420/AT2G39800/AT5G22000/AT4G16760/AT2G29940
