ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0042440	pigment metabolic process	172	-0.7118461615697879	-1.8388659097213378	4.335300899995432e-8	6.8764541967619845e-6	6.146649292220244e-6	1739	tags=30%, list=8%, signal=27%	AT5G13930/AT4G31920/AT1G63970/AT1G19670/AT4G14210/AT3G53130/AT1G69740/AT1G69720/AT4G08920/AT1G03630/AT5G08280/AT1G10657/AT5G05860/AT4G31390/AT4G25700/AT2G32950/AT2G42810/AT3G04870/AT2G26670/AT4G14690/AT2G20890/AT5G57030/AT5G44190/AT2G40490/AT5G52570/AT5G47110/AT1G08520/AT1G30530/AT4G18480/AT2G30390/AT3G11945/AT4G17600/AT1G08450/AT1G06000/AT4G15560/AT2G41680/AT3G10230/AT1G78570/AT1G58290/AT3G59400/AT2G20570/AT5G61670/AT2G35260/AT1G74470/AT1G75040/AT4G25080/AT5G17230/AT3G51820/AT1G44446/AT3G56940/AT5G67030
GO:0009768	photosynthesis, light harvesting in photosystem I	23	-0.9420035085075864	-1.8976239566957902	1.7640165434735964e-7	2.598144366173254e-5	2.3224007275355394e-5	843	tags=83%, list=4%, signal=79%	AT1G29910/AT3G27690/AT1G19150/AT1G29920/AT5G01530/AT1G45474/AT3G61470/AT1G29930/AT1G08380/AT2G34420/AT4G10340/AT1G15820/AT5G54270/AT3G54890/AT1G61520/AT2G05070/AT3G08940/AT3G47470/AT2G05100
GO:0071214	cellular response to abiotic stimulus	213	-0.6761980708066964	-1.7832526863672973	2.8541823104974647e-7	3.6783274526536076e-5	3.2879429116322765e-5	2063	tags=27%, list=10%, signal=24%	AT4G28860/AT1G70940/AT4G16830/AT1G56510/AT2G32010/AT2G46340/AT4G18130/AT2G32860/AT1G49510/AT4G20940/AT3G52740/AT4G08920/AT1G08540/AT2G01830/AT1G14320/AT5G49230/AT4G28610/AT2G21970/AT4G38740/AT2G36990/AT5G05860/AT2G24790/AT2G42810/AT3G21150/AT1G33240/AT2G21320/AT5G58140/AT3G17609/AT5G57345/AT2G26670/AT4G14690/AT3G27690/AT2G24540/AT2G46790/AT4G34220/AT2G05620/AT2G43010/AT1G10470/AT5G43630/AT2G42690/AT4G34190/AT5G24120/AT1G09340/AT1G01790/AT1G68010/AT1G03600/AT2G34620/AT3G59060/AT1G75100/AT4G04850/AT1G64860/AT1G32080/AT1G58520/AT1G07180/AT2G05070/AT3G22231/AT2G05100
GO:0104004	cellular response to environmental stimulus	213	-0.6761980708066964	-1.7832526863672973	2.8541823104974647e-7	3.6783274526536076e-5	3.2879429116322765e-5	2063	tags=27%, list=10%, signal=24%	AT4G28860/AT1G70940/AT4G16830/AT1G56510/AT2G32010/AT2G46340/AT4G18130/AT2G32860/AT1G49510/AT4G20940/AT3G52740/AT4G08920/AT1G08540/AT2G01830/AT1G14320/AT5G49230/AT4G28610/AT2G21970/AT4G38740/AT2G36990/AT5G05860/AT2G24790/AT2G42810/AT3G21150/AT1G33240/AT2G21320/AT5G58140/AT3G17609/AT5G57345/AT2G26670/AT4G14690/AT3G27690/AT2G24540/AT2G46790/AT4G34220/AT2G05620/AT2G43010/AT1G10470/AT5G43630/AT2G42690/AT4G34190/AT5G24120/AT1G09340/AT1G01790/AT1G68010/AT1G03600/AT2G34620/AT3G59060/AT1G75100/AT4G04850/AT1G64860/AT1G32080/AT1G58520/AT1G07180/AT2G05070/AT3G22231/AT2G05100
GO:0009642	response to light intensity	159	-0.705804354276783	-1.8215133053498656	4.482459760056399e-7	5.4369600148448794e-5	4.8599300556400955e-5	697	tags=27%, list=3%, signal=26%	AT2G39460/AT3G55280/AT3G19480/AT4G28610/AT2G21970/AT2G32950/AT1G34000/AT4G14690/AT3G27690/AT5G16400/AT3G62030/AT4G30950/AT2G05620/AT2G43010/AT3G15850/AT2G30950/AT4G32770/AT3G02730/AT3G18780/AT1G68830/AT1G60950/AT4G34190/AT1G45474/AT5G42270/AT1G67740/AT2G47450/AT1G01790/AT5G64940/AT1G03600/AT3G61470/AT3G59060/AT3G50820/AT4G04850/AT1G55480/AT5G66570/AT5G02120/AT5G46110/AT5G54270/AT3G54890/AT1G61520/AT2G05070/AT3G47470/AT2G05100
GO:0008380	RNA splicing	309	0.5377534149792393	1.6959429252774032	5.993966972318415e-7	6.866422164955874e-5	6.137681969900319e-5	3072	tags=22%, list=15%, signal=19%	AT2G21660/AT5G63370/AT4G38780/AT1G09140/AT4G03430/AT2G46610/AT1G20920/AT4G39260/AT3G49130/AT5G46920/AT5G42820/AT1G32490/AT1G65660/AT4G18930/AT4G35500/AT4G02430/AT2G37340/AT5G13010/AT2G42330/AT2G30000/AT3G57360/AT1G51380/AT1G01940/AT5G60870/AT3G24730/AT1G14640/AT3G16650/AT4G08580/AT1G66345/AT1G19290/AT5G27860/AT3G07860/AT1G54380/AT2G18510/AT2G33340/AT1G60900/AT4G25500/AT3G14700/AT1G05600/AT1G80060/AT4G36690/AT3G07790/AT1G07350/AT5G45990/AT5G05430/AT1G76300/AT2G43960/AT1G66510/AT2G17520/AT1G23400/AT3G22310/AT1G07910/AT3G53460/AT3G27550/AT4G18520/AT4G33370/AT1G03910/AT5G06420/AT2G39120/AT4G34140/AT4G01037/AT3G61360/AT3G22330/AT1G55310/AT3G48250/AT2G17530/AT2G43370
GO:0071456	cellular response to hypoxia	229	0.5710435097516593	1.7531650974160171	1.7257679574472473e-6	1.8507853945456666e-4	1.6543597048595957e-4	2391	tags=29%, list=12%, signal=26%	AT3G46230/AT1G77120/AT5G54960/AT2G15890/AT1G03220/AT4G34131/AT3G03270/AT2G36460/AT2G36800/AT1G72900/AT3G10020/AT4G30280/AT4G10250/AT5G12020/AT5G12030/AT5G20250/AT5G47060/AT3G25250/AT5G05410/AT5G20230/AT3G05120/AT5G20830/AT2G32210/AT1G76600/AT4G26270/AT1G59860/AT4G32480/AT1G07400/AT5G37670/AT1G74310/AT3G49780/AT1G30040/AT5G66650/AT3G24500/AT2G40140/AT3G23150/AT5G35735/AT5G62520/AT4G24110/AT5G54940/AT2G41430/AT1G76680/AT1G01720/AT5G63130/AT5G59820/AT4G20860/AT1G69890/AT1G73010/AT2G47520/AT2G36220/AT3G02040/AT3G23170/AT5G57510/AT5G20150/AT1G61340/AT1G07135/AT1G32928/AT4G17230/AT3G46080/AT4G33070/AT1G55810/AT5G63790/AT3G08720/AT5G04340/AT5G41080/AT1G27730
GO:0009451	RNA modification	343	0.5214972831642614	1.6531517005627914	1.7951361731771743e-6	1.8507853945456666e-4	1.6543597048595957e-4	5043	tags=50%, list=24%, signal=39%	AT3G24000/AT5G26880/AT4G02940/AT5G04780/AT4G26600/AT4G37380/AT3G49170/AT5G37570/AT4G38010/AT1G32580/AT1G34160/AT2G42920/AT4G39952/AT4G14820/AT3G28640/AT3G03580/AT1G31790/AT1G15480/AT2G17210/AT3G15000/AT3G06950/AT1G53260/AT3G28660/AT2G04860/AT2G41750/AT1G15510/AT4G31070/AT1G06710/AT4G18750/AT2G37310/AT3G13880/AT2G01510/AT1G25360/AT3G26782/AT1G77010/AT5G39350/AT3G12770/AT2G02750/AT3G58590/AT3G49142/AT1G09190/AT5G44230/AT1G06560/AT1G68930/AT5G27110/AT4G14050/AT4G35130/AT4G02750/AT5G47680/AT5G50990/AT5G06540/AT1G09410/AT4G14850/AT4G11690/AT2G13600/AT1G23450/AT1G20230/AT3G08820/AT1G26900/AT3G11460/AT1G50270/AT3G47530/AT5G13270/AT5G08305/AT2G47420/AT5G24670/AT3G25060/AT4G18520/AT1G71460/AT4G32450/AT5G19020/AT3G49740/AT2G33760/AT1G77170/AT5G61030/AT4G37170/AT4G21065/AT2G33680/AT5G08510/AT3G15130/AT3G46790/AT1G03510/AT2G20540/AT4G08210/AT2G39140/AT4G22760/AT1G62260/AT5G39680/AT1G53600/AT2G03380/AT1G33350/AT3G56550/AT2G34400/AT5G66180/AT4G17610/AT5G52850/AT2G21090/AT2G22070/AT5G13230/AT1G17630/AT3G18970/AT2G35030/AT3G53360/AT1G14470/AT5G59600/AT2G35240/AT5G44780/AT4G39530/AT3G02010/AT3G57430/AT4G33990/AT3G04750/AT4G13860/AT4G20020/AT1G71490/AT3G19440/AT4G32430/AT2G18410/AT5G56310/AT3G23330/AT3G02330/AT1G08070/AT2G27610/AT3G21470/AT2G29760/AT2G44270/AT5G47460/AT5G52630/AT5G66360/AT1G56690/AT3G16610/AT1G69350/AT4G13650/AT3G26410/AT3G62890/AT5G08490/AT1G04840/AT5G40405/AT1G43980/AT4G14170/AT3G51320/AT4G33170/AT5G37530/AT3G09040/AT4G04370/AT1G05750/AT1G28690/AT5G55920/AT3G22690/AT1G06140/AT3G06790/AT2G22410/AT3G47840/AT5G15300/AT5G13680/AT4G20770/AT4G16835/AT3G23630/AT4G19220/AT5G42450/AT4G27340/AT1G74230/AT3G14730/AT3G25970/AT5G51130/AT1G72530/AT1G49540/AT3G11220/AT5G59200/AT4G19191/AT1G74630/AT5G18180
GO:0033014	tetrapyrrole biosynthetic process	74	-0.78245597812646706	-1.8640520575668347	3.538238166185398e-6	3.474212904130615e-4	3.105491242601821e-4	2518	tags=53%, list=12%, signal=46%	AT3G16857/AT3G14110/AT4G27430/AT1G50170/AT4G26150/AT5G58250/AT3G48730/AT5G54190/AT5G45930/AT4G31920/AT1G63970/AT1G69740/AT1G03630/AT5G08280/AT1G10657/AT4G31390/AT2G42810/AT2G26670/AT4G14690/AT5G44190/AT2G40490/AT5G47110/AT1G08520/AT5G66190/AT4G18480/AT2G30390/AT4G17600/AT4G01690/AT4G15560/AT2G41680/AT1G58290/AT3G59400/AT2G20570/AT2G35260/AT1G74470/AT4G25080/AT3G51820/AT1G44446/AT3G56940
GO:0006779	porphyrin-containing compound biosynthetic process	70	-0.7830998570346174	-1.8467478841196874	6.754772767587208e-6	6.331064293984011e-4	5.659142160787178e-4	2518	tags=53%, list=12%, signal=47%	AT3G16857/AT3G14110/AT4G27430/AT1G50170/AT4G26150/AT5G58250/AT3G48730/AT5G54190/AT5G45930/AT4G31920/AT1G63970/AT1G69740/AT1G03630/AT5G08280/AT1G10657/AT4G31390/AT2G42810/AT4G14690/AT5G44190/AT2G40490/AT5G47110/AT1G08520/AT4G18480/AT2G30390/AT4G17600/AT4G01690/AT4G15560/AT2G41680/AT1G58290/AT3G59400/AT2G20570/AT2G35260/AT1G74470/AT4G25080/AT3G51820/AT1G44446/AT3G56940
