ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0009787	regulation of abscisic acid-activated signaling pathway	118	0.5749380311425738	1.651201970884901	2.0129169314821123e-4	0.004716630355359222	0.0040860287472788805	2038	tags=22%, list=10%, signal=20%	AT2G33150/AT1G07430/AT1G05100/AT5G59220/AT3G50500/AT1G01720/AT4G35790/AT4G26080/AT3G20810/AT1G15380/AT3G01650/AT3G02140/AT2G25760/AT5G57050/AT1G70810/AT5G66880/AT5G01520/AT3G11410/AT5G20910/AT5G37740/AT4G33780/AT5G11310/AT2G26300/AT1G18470/AT1G20110/AT5G66070
GO:1901419	regulation of response to alcohol	118	0.5749380311425738	1.651201970884901	2.0129169314821123e-4	0.004716630355359222	0.0040860287472788805	2038	tags=22%, list=10%, signal=20%	AT2G33150/AT1G07430/AT1G05100/AT5G59220/AT3G50500/AT1G01720/AT4G35790/AT4G26080/AT3G20810/AT1G15380/AT3G01650/AT3G02140/AT2G25760/AT5G57050/AT1G70810/AT5G66880/AT5G01520/AT3G11410/AT5G20910/AT5G37740/AT4G33780/AT5G11310/AT2G26300/AT1G18470/AT1G20110/AT5G66070
GO:1905957	regulation of cellular response to alcohol	118	0.5749380311425738	1.651201970884901	2.0129169314821123e-4	0.004716630355359222	0.0040860287472788805	2038	tags=22%, list=10%, signal=20%	AT2G33150/AT1G07430/AT1G05100/AT5G59220/AT3G50500/AT1G01720/AT4G35790/AT4G26080/AT3G20810/AT1G15380/AT3G01650/AT3G02140/AT2G25760/AT5G57050/AT1G70810/AT5G66880/AT5G01520/AT3G11410/AT5G20910/AT5G37740/AT4G33780/AT5G11310/AT2G26300/AT1G18470/AT1G20110/AT5G66070
GO:0019646	aerobic electron transport chain	39	0.7533848901845226	1.81775880314465	2.1050390218944851e-4	0.004877067936119583	0.004225016227267819	873	tags=21%, list=4%, signal=20%	AT3G27380/AT5G25450/AT4G10040/AT5G66760/AT5G51040/AT1G22840/AT3G10860/AT5G40650
GO:0006544	glycine metabolic process	17	-0.8836439725929975	-1.716116225811815	2.3369233385493819e-4	0.005354151026765361	0.004638314509378129	374	tags=47%, list=2%, signal=46%	AT4G13930/AT2G35370/AT1G32470/AT1G11860/AT2G13360/AT4G33010/AT2G26080/AT4G37930
GO:0018198	peptidyl-cysteine modification	22	-0.8432052819272793	-1.6947845077515544	2.575223856183611e-4	0.005829543135837241	0.0050501478898952465	413	tags=36%, list=2%, signal=36%	AT3G12780/AT3G62410/AT1G32060/AT1G09340/AT3G26650/AT4G05180/AT4G20360/AT4G21280
GO:0032446	protein modification by small protein conjugation	328	0.454820331641277	1.4542934364885798	2.6009600800049764e-4	0.005829543135837241	0.0050501478898952465	3981	tags=25%, list=19%, signal=21%	AT2G28840/AT3G47160/AT1G47128/AT5G03240/AT2G37150/AT5G56150/AT3G01650/AT3G09770/AT5G47430/AT4G22820/AT5G10650/AT5G49665/AT5G01520/AT5G14420/AT1G21410/AT3G17000/AT4G25230/AT4G02570/AT5G62910/AT5G01720/AT1G78420/AT5G62540/AT1G27530/AT5G20910/AT1G61620/AT1G74870/AT1G65430/AT3G08690/AT3G13672/AT2G02760/AT2G30580/AT5G45360/AT3G12630/AT5G20620/AT2G33340/AT5G45900/AT3G12580/AT3G19910/AT1G66050/AT5G19080/AT5G63970/AT1G76920/AT2G39100/AT3G54850/AT5G53360/AT5G25560/AT5G59550/AT4G12570/AT1G54150/AT5G62460/AT2G17450/AT1G22500/AT4G17410/AT3G43430/AT3G13430/AT1G55860/AT4G30940/AT5G50430/AT2G42160/AT3G47550/AT4G14220/AT2G22680/AT1G29340/AT2G26350/AT5G51450/AT2G35635/AT4G05320/AT3G55380/AT2G18600/AT1G15100/AT1G02980/AT1G63840/AT3G05200/AT5G02880/AT1G66040/AT3G15150/AT3G60966/AT1G27840/AT3G11840/AT3G15070/AT4G35480/AT3G62240/AT5G19180
GO:0015994	chlorophyll metabolic process	79	-0.6850660973283156	-1.7108119654431573	2.660464824860942e-4	0.005898794052541142	0.005110140133320904	1629	tags=42%, list=8%, signal=39%	AT5G56860/AT2G20180/AT4G26150/AT5G18660/AT4G14690/AT5G58250/AT2G42810/AT3G03710/AT5G08280/AT1G10657/AT3G14110/AT1G19670/AT5G45930/AT5G01410/AT5G47110/AT5G44190/AT1G03630/AT2G41680/AT1G08520/AT1G58290/AT2G20890/AT1G44446/AT2G20570/AT3G59400/AT4G18480/AT4G15560/AT4G17600/AT5G38520/AT2G35260/AT1G74470/AT3G51820/AT3G56940/AT4G25080
GO:0009645	response to low light intensity stimulus	20	-0.8732534188699796	-1.7196652078627812	2.783803869377069e-4	0.006106599551761188	0.005290162560283188	395	tags=50%, list=2%, signal=49%	AT3G27690/AT2G43010/AT1G45474/AT3G59060/AT3G61470/AT1G61520/AT3G54890/AT3G47470/AT2G05100/AT2G05070
GO:0001676	long-chain fatty acid metabolic process	59	0.6788488898896159	1.767635623772137	2.82297453310925e-4	0.006127340512917131	0.005308130507131742	1572	tags=34%, list=8%, signal=31%	AT2G33150/AT5G65110/AT1G73680/AT5G10300/AT1G17420/AT1G76690/AT2G33380/AT4G16760/AT4G05160/AT3G01420/AT5G27600/AT1G61850/AT4G29010/AT4G16690/AT3G19260/AT4G37150/AT3G10870/AT5G07010/AT1G44350/AT1G07380
