category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Lipid metabolism	ath00073	Cutin, suberine and wax biosynthesis	28/1472	65/6348	0.4307692307692308	1.8576923076923078	3.818659799327133	2.833988694471121e-4	0.002391177960960008	0.0016034409718718185	841899/818485/832311/843628/817901/828019/819205/824033/822299/834114/834106/835631/842675/833704/842150/824082/830343/820222/837704/829521/839347/832310/835630/820221/843283/820372/822297/823580	28
Environmental Information Processing	Signal transduction	ath04075	Plant hormone signal transduction	129/1472	433/6348	0.2979214780600462	1.2847863741339491	3.372811621500108	6.082631634019084e-4	0.004394914557513688	0.002947077208157327	818708/825075/824214/821050/836248/837587/837255/841395/833756/824871/818903/836822/839495/829893/839570/836040/836321/816798/841382/825473/819129/829847/839568/833672/833535/818730/838518/815949/834127/838501/831519/843828/827102/819674/836412/844164/836388/814714/827989/818706/824847/825382/837838/824140/825356/820883/830040/838487/816849/821891/828283/829322/823950/831178/830162/821055/826850/28718697/839821/825476/835539/828714/834700/840471/831162/828120/828721/838635/844105/825204/828569/823965/839827/821111/823706/838310/839820/819264/830427/825805/831866/28721172/834768/819387/818662/816640/835809/839828/839819/825804/824169/839822/816833/828718/830575/843194/818411/835860/818199/844405/816817/838804/830966/835148/824239/821121/824099/838221/829629/829768/817487/831669/817353/838570/837024/835250/830039/820793/829361/831003/821123/831173/828358/828993/817145/818626/843393/829000/28717252	129
Metabolism	Lipid metabolism	ath00592	alpha-Linolenic acid metabolism	20/1472	43/6348	0.46511627906976744	2.005813953488372	3.635931094865742	6.315098109244054e-4	0.004394914557513688	0.002947077208157327	844047/821249/817876/844002/834946/843703/836635/838314/821135/819870/838551/822169/834273/821286/822168/844001/837462/843584/824881/838636	20
Metabolism	Energy metabolism	ath00910	Nitrogen metabolism	20/1472	43/6348	0.46511627906976744	2.005813953488372	3.635931094865742	6.315098109244054e-4	0.004394914557513688	0.002947077208157327	821050/831326/824438/829498/821134/829911/830635/833535/830292/843377/831519/829910/823555/831935/840630/823641/816055/821072/844112/817367	20
Metabolism	Metabolism of other amino acids	ath00460	Cyanoamino acid metabolism	29/1472	71/6348	0.4084507042253521	1.761443661971831	3.544844523345472	6.510984529649907e-4	0.004394914557513688	0.002947077208157327	829949/825317/827027/830894/829911/839196/821333/3767579/827024/841088/839435/829910/825184/829042/823854/823555/828264/817847/828895/842479/842478/825182/825183/830119/832525/821332/832219/835545/819053	29
Metabolism	Metabolism of other amino acids	ath00480	Glutathione metabolism	38/1472	102/6348	0.37254901960784315	1.6066176470588236	3.3932858163714568	8.936334168919333e-4	0.005517347405779157	0.0036997417301910924	824631/817046/837576/817498/844085/826765/837575/844174/841875/829316/833559/843864/824670/817497/817491/827931/820121/822349/829042/823491/817496/839515/837465/839295/843329/819386/814822/834169/838288/822324/844173/817495/844167/838240/817493/821227/838289/830119	38
Metabolism	Lipid metabolism	ath00071	Fatty acid degradation	21/1472	47/6348	0.44680851063829785	1.9268617021276595	3.5040107699726404	8.991232809417885e-4	0.005517347405779157	0.0036997417301910924	844047/817876/834946/841849/821961/836635/829573/823955/819865/834230/832820/819870/819337/838849/834876/841367/838991/842748/827089/843283/840172	21
Cellular Processes	Transport and catabolism	ath04146	Peroxisome	34/1472	90/6348	0.37777777777777777	1.6291666666666667	3.3027483675976876	0.001234950011999695	0.0072486196356503834	0.00486067281610864	829661/841720/815822/817876/827563/831604/838651/834946/821961/836635/832812/818877/832311/832129/820665/838652/841875/832095/832820/820664/829641/819337/841367/831621/842748/834346/828613/829521/829642/829534/824802/3770487/820372/823580	34
Metabolism	Biosynthesis of other secondary metabolites	ath00941	Flavonoid biosynthesis	13/1472	25/6348	0.52	2.2425	3.4198819618177283	0.0015988702463018622	0.008927895126827623	0.005986736693233337	830765/830409/824287/829551/834951/824678/831241/828728/835894/839082/836480/834291/836478	13
Metabolism	Amino acid metabolism	ath00280	Valine, leucine and isoleucine degradation	22/1472	52/6348	0.4230769230769231	1.8245192307692306	3.28001936106987	0.0016533139123754855	0.008927895126827623	0.005986736693233337	817876/834946/841849/818421/829573/823955/841998/820547/819865/824130/827841/823668/815903/834876/843457/838991/837166/838362/829310/820951/837543/841433	22
Metabolism	Metabolism of cofactors and vitamins	ath00130	Ubiquinone and other terpenoid-quinone biosynthesis	18/1472	40/6348	0.45	1.940625	3.2787399793970216	0.0018689627154490254	0.009344813577245127	0.006266307739907065	842814/839932/842350/829413/5007993/836457/842805/841593/830775/825516/816412/842354/843810/838945/817022/842596/834953/838468	18
Metabolism	Energy metabolism	ath00920	Sulfur metabolism	18/1472	40/6348	0.45	1.940625	3.2787399793970216	0.0018689627154490254	0.009344813577245127	0.006266307739907065	836521/842514/825317/832872/818978/821861/825853/815963/821817/825793/820499/841793/838580/830788/830153/829716/836888/821962	18
Metabolism	Amino acid metabolism	ath00380	Tryptophan metabolism	25/1472	64/6348	0.390625	1.6845703125	3.024100819140154	0.0031166007796305	0.015026468044647053	0.010076228084519662	829661/837972/839488/838651/841849/829573/823955/838652/832221/816585/839163/816553/837418/834876/823555/838991/820951/828569/817626/823457/837024/837971/831003/828993/843393	25
NA	NA	ath01320	Sulfur cycle	11/1472	21/6348	0.5238095238095238	2.2589285714285716	3.1748128234679633	0.0034028257862988814	0.01584074072932238	0.010622251093346783	842514/825317/832872/818978/821861/815963/821817/825793/838580/830153/836888	11
Metabolism	Metabolism of cofactors and vitamins	ath00670	One carbon pool by folate	18/1472	42/6348	0.42857142857142855	1.8482142857142856	3.030118062827433	0.003609009622330093	0.016240543300485417	0.010890344825276775	817149/829438/829949/818260/841849/843831/837733/827027/821964/823972/834791/840141/825167/827024/820951/816694/821845/827448	18
Cellular Processes	Cell motility	ath04814	Motor proteins	30/1472	82/6348	0.36585365853658536	1.5777439024390245	2.8930331308762254	0.004090654522210071	0.017814140661237404	0.011945544614942825	830050/821411/839480/842782/824542/832133/841898/828845/841425/818192/824985/824279/817411/838418/828844/843509/816548/821947/838590/821558/832456/824127/836763/821439/817886/818817/827054/823523/820857/831740	30
Metabolism	Metabolism of other amino acids	ath00430	Taurine and hypotaurine metabolism	7/1472	11/6348	0.6363636363636364	2.7443181818181817	3.181167247114595	0.00479680018399662	0.020236500776235743	0.013569895257358862	814732/842908/829042/831599/838508/830119/821044	7
Metabolism	Amino acid metabolism	ath00330	Arginine and proline metabolism	21/1472	54/6348	0.3888888888888889	1.6770833333333333	2.7452502509135033	0.00687266849049038	0.028115462006551555	0.018853253275348415	831452/816149/831332/834660/841849/829573/823955/821214/831024/836373/837418/829623/842894/831215/838991/818566/826458/822833/828665/829735/836237	21
Metabolism	Amino acid metabolism	ath00270	Cysteine and methionine metabolism	41/1472	125/6348	0.328	1.4145	2.571496553482537	0.008468919314085346	0.03362659139416241	0.022548825418307737	830825/831452/830035/831255/818260/827124/821292/818421/825317/827715/834351/821147/832872/831660/821964/818978/829715/821214/842096/831024/828460/838352/841405/824130/821817/821482/820499/839345/817180/837082/842774/837543/817022/829716/821845/828726/841433/829933/827640/816478/844069	41
Metabolism	Global and overview maps	ath01230	Biosynthesis of amino acids	72/1472	242/6348	0.2975206611570248	1.2830578512396695	2.4666685363944807	0.00972647164793863	0.037516390642049	0.025157189826247286	816672/838940/819639/830052/831332/842175/831255/843395/829949/821050/818260/818220/828759/820006/834875/825317/827715/840138/819137/843565/821147/836262/832872/831660/827027/818978/829715/841875/825246/818879/834832/831024/837904/825044/828586/833535/838352/824130/827024/819608/820166/831519/821817/835735/842072/819138/820461/821482/836625/828733/820499/837725/833436/2746023/840076/816758/821812/844395/816730/834479/818566/826458/832326/823888/837385/837345/837543/815864/829716/819560/841433/825159	72
Organismal Systems	Immune system	ath04620	Toll-like receptor signaling pathway	8/1472	15/6348	0.5333333333333333	2.3	2.7694309635023275	0.0108078435885588	0.03975241707939614	0.026656591569809502	839357/829750/829654/837303/823959/835759/829016/819077	8
Metabolism	Amino acid metabolism	ath00360	Phenylalanine metabolism	14/1472	33/6348	0.42424242424242425	1.8295454545454546	2.624924316998145	0.010895106903241905	0.03975241707939614	0.026656591569809502	826838/824493/831024/818280/820760/816553/837418/840056/820196/840058/816758/830302/835823/817022	14
Environmental Information Processing	Signal transduction	ath04016	MAPK signaling pathway - plant	46/1472	146/6348	0.3150684931506849	1.3587328767123288	2.4092842014877407	0.01226818905494579	0.04358435585309689	0.029226156751394408	818708/829661/832546/824214/838651/837255/833756/836822/839324/836040/816330/838652/842650/815949/829797/822119/844164/824847/837082/821891/834469/830162/835179/828714/828713/820429/817173/823706/830427/817143/817142/835809/834470/816833/818411/819774/834676/835402/840324/817487/818429/817812/835250/817145/818626/838506	46
Metabolism	Metabolism of other amino acids	ath00410	beta-Alanine metabolism	18/1472	47/6348	0.3829787234042553	1.6515957446808511	2.463364816766992	0.014144304013638264	0.04896105235490168	0.03283158286566507	826838/841849/836635/829573/823955/814732/827841/842908/815903/840056/842894/831215/840058/838991/837166/829310/831599/821044	18
