Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
A	GO:0071456	cellular response to hypoxia	27/125	241/21192	0.11203319502074689	18.993659751037345	21.639889134327596	5.054775484281728e-27	1.0635496227788466e-24	7.967997592441709e-25	CMI1/CBP1/AtXTH22/NA/CYP707A3/EXL1/AthCYSTM6/NA/NA/atnudt4/AtRAV1/NA/AtC3H47/NA/AtZAT12/AtTEM1/DIC2/STZ/NA/HRM1/SRO5/TN3/DVL10/ATL23/AtPDC1/NA/NA	27
A	GO:0036294	cellular response to decreased oxygen levels	27/125	243/21192	0.1111111111111111	18.837333333333333	21.541741063071736	6.343238306832088e-27	1.0635496227788466e-24	7.967997592441709e-25	CMI1/CBP1/AtXTH22/NA/CYP707A3/EXL1/AthCYSTM6/NA/NA/atnudt4/AtRAV1/NA/AtC3H47/NA/AtZAT12/AtTEM1/DIC2/STZ/NA/HRM1/SRO5/TN3/DVL10/ATL23/AtPDC1/NA/NA	27
A	GO:0071453	cellular response to oxygen levels	27/125	243/21192	0.1111111111111111	18.837333333333333	21.541741063071736	6.343238306832088e-27	1.0635496227788466e-24	7.967997592441709e-25	CMI1/CBP1/AtXTH22/NA/CYP707A3/EXL1/AthCYSTM6/NA/NA/atnudt4/AtRAV1/NA/AtC3H47/NA/AtZAT12/AtTEM1/DIC2/STZ/NA/HRM1/SRO5/TN3/DVL10/ATL23/AtPDC1/NA/NA	27
A	GO:0001666	response to hypoxia	27/125	271/21192	0.0996309963099631	16.891040590405904	20.28033605966351	1.2469749198476856e-25	1.5680709617084646e-23	1.1747816350143985e-23	CMI1/CBP1/AtXTH22/NA/CYP707A3/EXL1/AthCYSTM6/NA/NA/atnudt4/AtRAV1/NA/AtC3H47/NA/AtZAT12/AtTEM1/DIC2/STZ/NA/HRM1/SRO5/TN3/DVL10/ATL23/AtPDC1/NA/NA	27
A	GO:0036293	response to decreased oxygen levels	27/125	275/21192	0.09818181818181818	16.645352727272726	20.11552594284709	1.8559765221306838e-25	1.7168651965013653e-23	1.286256650303419e-23	CMI1/CBP1/AtXTH22/NA/CYP707A3/EXL1/AthCYSTM6/NA/NA/atnudt4/AtRAV1/NA/AtC3H47/NA/AtZAT12/AtTEM1/DIC2/STZ/NA/HRM1/SRO5/TN3/DVL10/ATL23/AtPDC1/NA/NA	27
A	GO:0070482	response to oxygen levels	27/125	276/21192	0.09782608695652174	16.58504347826087	20.074864715749587	2.0479505326060025e-25	1.7168651965013653e-23	1.286256650303419e-23	CMI1/CBP1/AtXTH22/NA/CYP707A3/EXL1/AthCYSTM6/NA/NA/atnudt4/AtRAV1/NA/AtC3H47/NA/AtZAT12/AtTEM1/DIC2/STZ/NA/HRM1/SRO5/TN3/DVL10/ATL23/AtPDC1/NA/NA	27
A	GO:0009611	response to wounding	15/125	274/21192	0.05474452554744526	9.28116788321168	10.627623876266036	8.183426368313838e-11	5.880376376088373e-9	4.4055137441448926e-9	ACS6/NA/JAZ7/ERF018/ATBT4/CYP94B3/ATBT2/AtZAT12/BAP1/STZ/ATLOX4/ATEXT1/AtCAF1a/KFB20/ATWRKY40	15
A	GO:0009733	response to auxin	15/125	390/21192	0.038461538461538464	6.520615384615385	8.476110961677314	1.0373897895339912e-8	6.522588301694969e-7	4.886651903331169e-7	AtCML24/ACS6/CMI1/ATMYB73/AtXTH22/MYB77/TET8/ERF109/ATBT4/ATMYB44/ATBT2/IAA6/AUR3/ATCCD8/BT5	15
A	GO:0009751	response to salicylic acid	10/125	197/21192	0.050761421319796954	8.605888324873096	8.261416214714316	2.69206573714588e-7	1.5045656286493084e-5	1.1272041332142981e-5	DREB26/ATBT4/ATMYB44/ATBT2/BAP1/MATI/ATEXT1/BT5/ATWRKY40/ATWRKY18	10
A	GO:0016115	terpenoid catabolic process	4/125	18/21192	0.2222222222222222	37.67466666666667	11.990308522250235	3.310850226805947e-6	1.6653576640833913e-4	1.247667769680557e-4	ERF58/CYP707A3/ERF55/ATCCD8	4
