ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0044282	small molecule catabolic process	70/3361	212/21192	0.330188679245283	2.081927548517119	6.873619693522051	4.3419692074991847e-10	4.623054582510974e-8	3.6251233217181554e-8	KAT2/GDCH/ACX2/IBR3/GDC-H1/ACX1/PMDH2/GLDT/AtHPCL/AAE3/SHM1/ERF58/CSY3/AtTAT1/ADH/HPD/BGAL3/AtHGO/BCDH/ATECH2/E1A1/ACX4/AT-CDA1/MCCA/DELTA-OAT/CYCLASE1/CSY2/BGAL4/NA/GABA-T/AtPNC2/AtBBE22/NA/NA/ATIVD/UGT71B6/ATECI2/ATMGL/ATGSTZ1/PDH2/AtDMR6/XMPP/GDH2/PGM/GAD2/AtBGAL5/ATGA2OX4/ETFBETA/ETFQO/NA/DIN4/LKR/DLO1/AtBGAL10/ATHSPRO2/THA1/ERF55/ATECI3/GAD4/NA/MIOX4/ALPHA-DOX1/AtPDC1/CYP707A3/AAE9/NA/NA/NA/MIOX2/BGAL7	70
GO:0009753	response to jasmonic acid	74/3361	230/21192	0.3217391304347826	2.028650893238296	6.809852404645252	5.287813655192965e-10	5.348623512227685e-8	4.1940711465135784e-8	AtS40.4/NA/ATLOX3/AP4.3A/ATOEP16-1/AtJAZ1/ACS6/RCA/NDL2/ATNPR3/AtBBE22/ATIMD1/STMP5/SS2/anac081/AT-SYR1/CPR5/PROSCOOP14/WRKY4/ATBT4/ADC2/NA/GAI/ATWRKY11/AtBBE16/TIFY8/ATLOX2/ANAC055/SSL5/JAV1/ATMYB44/NDL3/JAZ7/BASS5/NA/ATMYB29/STMP4/Rap2.6L/ATVSP1/5PTASE11/ILL6/CuAOalpha3/JAI3/STMP8/ATGLR3.6/ATEXT1/At2-MMP/ATVSP2/AtDWF4/ATSYP122/AtJAC1/FAMT/GRX480/GLYI4/ATJRG21/ATWRKY54/ATPP2-A5/RGL2/ATSEN1/AtFBS1/ATBT2/AtEGL3/ERF59/ChiC/CuAOalpha2/ATTPS03/ABCG40/JAZ8/ERF113/NATA1/DREB26/AtERF#092/AGP31/JAO4	74
GO:0015979	photosynthesis	73/3361	227/21192	0.32158590308370044	2.027684753986843	6.758456780610593	7.068250275276587e-10	6.809081098516446e-8	5.339274769344269e-8	NDF4/PPL1/PSBQ/RBCS3B/PSAN/LHCB5/EMB3119/OE23/CRR1/ATSIG5/CURT1B/PSBQ/RBCS1A/CP24/LHCA2*1/PnsL3/ATBCA1/GAPB/NDF1/PSBW/SBPASE/MSP-1/PnsL1/CRR23/AT-RSH3/OHP/PETC/LHCB4.2/LHCB4.3/PSAO/ATCYP38/PPD5/PGK1/MET1/cfbp1/LHCA2/NDF6/LPA19/ATPD/PSAG/LQY1/NA/PSB29/DEG5/PPD1/LHCB3/ATHDA14/NDF2/CGR2/PHYLLO/AB140/RFC3/DEG2/PDE327/ABI2/LHCA1/CRR3/NDF5/HCF243/NA/ADS3/NA/PAM68/PGRL2/PUMPKIN/PnsL2/CGR3/ATFER1/NA/STZ/AB180/ATGPT2/VCCN2	73
GO:0070542	response to fatty acid	74/3361	234/21192	0.3162393162393162	1.9939731001914875	6.637885762304614	1.2573539944423673e-9	1.1561941503440495e-7	9.066184065189701e-8	AtS40.4/NA/ATLOX3/AP4.3A/ATOEP16-1/AtJAZ1/ACS6/RCA/NDL2/ATNPR3/AtBBE22/ATIMD1/STMP5/SS2/anac081/AT-SYR1/CPR5/PROSCOOP14/WRKY4/ATBT4/ADC2/NA/GAI/ATWRKY11/AtBBE16/TIFY8/ATLOX2/ANAC055/SSL5/JAV1/ATMYB44/NDL3/JAZ7/BASS5/NA/ATMYB29/STMP4/Rap2.6L/ATVSP1/5PTASE11/ILL6/CuAOalpha3/JAI3/STMP8/ATGLR3.6/ATEXT1/At2-MMP/ATVSP2/AtDWF4/ATSYP122/AtJAC1/FAMT/GRX480/GLYI4/ATJRG21/ATWRKY54/ATPP2-A5/RGL2/ATSEN1/AtFBS1/ATBT2/AtEGL3/ERF59/ChiC/CuAOalpha2/ATTPS03/ABCG40/JAZ8/ERF113/NATA1/DREB26/AtERF#092/AGP31/JAO4	74
GO:0009625	response to insect	29/3361	58/21192	0.5	3.152633144897352	7.127140170220341	1.4741645156569276e-9	1.2966238326843324e-7	1.0167349771601784e-7	AN5/ATCSLD5/CHI/ATLOX4/AtMYB28/UGT73B5/AtLEA5/AtPAE10/ESM1/ATMYB29/NOI10/ATBG1/ATVSP2/CYP79F2/GSM1/BUS1/LAC6/CYP83A1/LTPG14/ATKTI1/NOI3/ATTPS03/PROSCOOP4/CYP71B15/ATMYB122/AGP31/PROSCOOP1/AtMYB76/IRM1	29
GO:0080134	regulation of response to stress	126/3361	477/21192	0.2641509433962264	1.6655420388136954	6.382845694398642	1.7716192831610809e-9	1.493327420764528e-7	1.1709781840893633e-7	HBI1/DRN1/CP29C/ATPCB/PLIP2/AtLYK3/ADH/AtDTX50/BEE2/RLM3/RGLG1/ATSDX1/RGLG2/ULT/AtJAZ1/AtMTM1/AtMYB60/ATNPR3/AtGRP4/ARCK1/PSB29/ANAC092/NA/ATMLO2/ANAC091/AtSTOP1/NA/MCO2/SAG13/AtPAM16/NA/AT-SYR1/EXT-like/WRKY4/BAP1/SGT1A/ATGSTU4/ANAC062/TIFY8/FLS2/ACD6/AthCYSTM3/ATEXO70B2/ATMYB44/ATCAX3/CRK4/PLIP3/CBP60G/VQ9/ATHLECRK/JAZ7/AT-HSFB1/AtGH3.12/SLK1/FDM2/MAPKKK5/AGL24/LDAP3/NA/ATMYB29/NIMIN-1/PYR1/OBE1/XLG2/AtPFA-DSP4/NA/LIK1/IDN2/AtDBP1/SARD1/ATPSKR1/ATBZIP24/AS1/AtGILP/AtMYB88/ILL6/ATCHIA/SARD4/JAI3/AGF2/LTPG5/NA/ATGLR3.6/BPL2/ATSPX1/SINA2/APK2A/AtERF53/EBS1/AtRLP17/PCC1/AtRLP51/ATSYP122/LecRK-VI.2/ABS3/AtPMRT5/atPARG2/ATJRG21/ATWRKY54/ATWRKY58/EDR4/UGT73C7/ATWRKY8/AtMORC2/CMU2/SPCH/ATMYB73/TN6/GIG1/ARL2/AtCAPE9/BDG1/JAZ8/CML46/BRCA2(IV)/RHA2B/CYP71B15/CLE25/NA/ALKBH6/ATICS1/RMI2/JAO4/ATOXS3/NIMIN-2/LecRK-IX.2	126
GO:0019684	photosynthesis, light reaction	57/3361	165/21192	0.34545454545454546	2.178182900110898	6.59611413687784	2.713171475250298e-9	2.1954983577725412e-7	1.7215787002956624e-7	NDF4/PPL1/PSBQ/PSAN/LHCB5/OE23/CRR1/ATSIG5/CURT1B/PSBQ/CP24/LHCA2*1/PnsL3/NDF1/PSBW/MSP-1/PnsL1/CRR23/OHP/PETC/LHCB4.2/LHCB4.3/PSAO/ATCYP38/PPD5/MET1/cfbp1/LHCA2/NDF6/LPA19/ATPD/PSAG/LQY1/NA/PSB29/DEG5/PPD1/LHCB3/ATHDA14/NDF2/PHYLLO/AB140/DEG2/ABI2/LHCA1/CRR3/NDF5/HCF243/NA/ADS3/PAM68/PGRL2/PUMPKIN/PnsL2/NA/AB180/VCCN2	57
GO:0048366	leaf development	117/3361	439/21192	0.26651480637813213	1.680446824387199	6.254723858144993	3.850818313857097e-9	2.962301852096262e-7	2.3228602081895395e-7	ANAC072/PKS2/AT-RSH3/ALPHA/YAB3/ASP3/At-NEET/AtS40.4/AT-NHX1/COR15B/TCP3/RCA/YAB5/GABA-T/AtNPF7.3/MEE35/ANAC092/anac032/CHI/CGR2/APG7/anac081/ATG11/ATGCP2/CPR5/CV/EAL1/MAPKKK18/ER/ATSRG1/AtIAA17/AtPP2-A13/DA1/PLL4/TIFY8/SCM/ATNHL10/AtHsp90.2/AtDMR6/GALT6/AtS40-2/DEAR4/AIF/AN3/AtLEA5/ATKUP9/ABF4/AGAL2/HAI1/LAX2/TCP10/ATMLO12/ENP/ASE2/ANAC059/ATBRI1/ANAC029/TCP5/PDF2/DLO1/CVP2/AFO/SPL10/AtSPL9/CGR3/COR78/AtGRF3/ATFER1/AtTAR2/AS1/PES1/ALD1/AtS40-7/AtGRF4/AtGRF5/PAC/FAS2/ABR/CYP78A5/LTI65/ATGLN1;1/anac046/At2-MMP/TIE4/CIK3/AtS40-1/AtDWF4/SENRK1/AtGRF8/FAS1/ATWRKY28/CLE14/AT2301/ATWRKY54/DOT3/TCP17/ANAC042/ANAC068/CRC/DPA4/LTPG14/PME53/CRF2/CRF1/AtGRF2/AtS40-3/ATBARD1/CRF3/AtGRF9/UGT76B1/APD7/CSAP/AtGRF6/AtSWEET15/AtOCT1/AtGRF7/AtWRKY22	117
GO:0006979	response to oxidative stress	114/3361	425/21192	0.26823529411764707	1.6912949577331677	6.250188345336149	4.099646080719836e-9	2.962301852096262e-7	2.3228602081895395e-7	AtSIP2/CML10/CYP20-3/2CPA/ATPRX/ATNDPK2/APX4/ATPCB/ATXDH1/FSD3/ADH/NDH18/ATCIPK14/ATP5CS/TAPX/NA/AtUSP/NA/ATSDX1/ATGSTU19/NA/2-Cys/HEMA2/ACS6/AtBBE19/CAT1/AtZAT12/ATGPX6/NA/iqd21/AER/ISTL6/ANAC092/ATMSRB6/ATGPX2/AtSTOP1/ATMSRA1/MCO2/ATGHBDH/BIP3/CV/ATFC-I/ATBT4/ADC2/ATLOX4/ATGRXS13/ATMPK7/BT1/Raf43/ATBCB/AT-HSFA4A/ATMSRB3/ATH5/AtLEA5/RMG1/ATACP5/ATMSRA2/GGT1/GATL10/AtPCR2/ANAC059/CHL/AT-RLK3/HUP26/AtCML37/NA/COR78/ATFER1/ATHSPRO2/NA/NA/STZ/HRG1/HSP17.6A/F6'H1/NA/ATGST1/ATMSRB5/BT5/NA/ATGSTF11/NA/ATVSP2/HUP35/NA/PRXIIC/GLYI4/ATWRKY54/ALPHA-DOX1/ATWRKY8/NA/HSP17.4B/AGC2/ATSEN1/ATBT2/ATKTI1/PRX52/NA/AtBBE24/DREB2/ABCG40/PER4/AtTPPD/AtYUC6/NA/CRK7/DIN10/HSP17.6II/ATMSRB4/AtGolS4/HSP17.6B/Prx37/ATOXS3/ATHSP22.0	114
GO:0032787	monocarboxylic acid metabolic process	127/3361	488/21192	0.26024590163934425	1.6409197106637854	6.218827944907071	4.100071767607283e-9	2.962301852096262e-7	2.3228602081895395e-7	KAT2/CER8/ACX2/AtFBA5/IBR3/LACS2/ACX1/PMDH2/AtHPCL/UGT1/EDA17/AAE3/AtFAP3/ERF58/ACL/CSY3/AAE14/ACP4/ATSAGT1/AAO3/ALPHA/BIO2/AtHGO/AtFAD7/BADC1/AtCLO3/AtFAD8/ATNFXL1/PPDK/PGK1/ATLOX3/ATECH2/DCF/ATSDX1/ACX4/NA/AtHNL/AHB2/CSY2/ATBI-1/AAE7/ATMES16/CER26/GABA-T/AtPNC2/NA/ATCTL1/PFK3/ACBP3/NHL6/CYP94B3/ADS4.2/AtFAD3/FRK3/EMB3147/CAD1/ATNCED3/DECR/UGT71B6/ATECI2/ATLOX4/DIV2/LTA2/ATGSTZ1/EMB3003/ATLOX2/AtDMR6/ATCB5-B/PGM/ATMES9/CBP60G/AtFBA7/ETFBETA/ABA3/KAS/ADS3/NA/ATMYB3/CHL/ATT1/DLO1/SARD1/CYP707A1/AtFAP1/AtTAR2/ALD1/ATBG1/ATFAH1/ILL6/SARD4/ELO3/ERF55/AtNIT2/ATECI3/ATMES18/KCS8/CYP86A4/NA/ATMGD2/KPHMT1/CYP77B1/AtFaTA/ALPHA-DOX1/ADS4/HIC/CER60/CBP60f/ATMES10/ATMES7/ATMES8/FMO1/ADS1/CYP707A3/BDG1/CER2/CYP86A7/CLE25/CYP74B2/NA/ATICS1/ATNADP-ME1/NA/AAD4/UGT71D1/NA/KCS17/ATMES1	127
GO:0010087	phloem or xylem histogenesis	47/3361	130/21192	0.36153846153846153	2.2795962740027007	6.353557588667884	1.2773771063573218e-8	8.910806504002972e-7	6.987322320437327e-7	NA/ACS6/ICA/CLE41/FL1/ER/AHK2/FL3/EXGT-A1/ERF109/DOF5.6/AtERF#100/XTH9/FL7/AVB1/AtTAR2/BAM3/ATRABG3B/CLE42/ACL5/AtSEOR2/AGC1-3/ANAC104/CLE26/AtXYP2/CLE14/FL2/DOT3/OPL1/FL6/APC6/BRX/FKD1/PRX52/ATHB-8/BDR1/CLE17/ERF104/PXY/ATERF11/NA/FST/CLE25/ERF018/ANAC007/NCRK/ATET2	47
